¹øÈ£,°üÃøÀÏÀÚ,±â¿Â(¡É),±â¾Ð(hPa),Ç³Çâ(16points),Ç³¼Ó(m/s),À¯Çâ,À¯¼Ó
1,2023/11/30 23:00,1.78,1027.32,µ¿,1.27,,,,,,,,,,,,,,,,
2,2023/11/30 22:00,1.79,1027.4,ºÏµ¿,0.67,,,,,,,,,,,,,,,,
3,2023/11/30 21:00,1.93,1027.47,µ¿,1.48,,,,,,,,,,,,,,,,
4,2023/11/30 20:00,2.21,1027.34,µ¿ºÏµ¿,1.47,,,,,,,,,,,,,,,,
5,2023/11/30 19:00,2.27,1027.32,ºÏµ¿,1.12,,,,,,,,,,,,,,,,
6,2023/11/30 18:00,2.24,1027.34,ºÏµ¿,1.56,,,,,,,,,,,,,,,,
7,2023/11/30 17:00,2.64,1027.23,ºÏµ¿,1.5,,,,,,,,,,,,,,,,
8,2023/11/30 16:00,2.82,1027.31,ºÏ¼­,2.66,,,,,,,,,,,,,,,,
9,2023/11/30 15:00,2.51,1027.56,ºÏ¼­,2.97,,,,,,,,,,,,,,,,
10,2023/11/30 14:00,2.53,1027.65,¼­ºÏ¼­,2.76,,,,,,,,,,,,,,,,
11,2023/11/30 13:00,2.19,1028.16,¼­ºÏ¼­,1.61,,,,,,,,,,,,,,,,
12,2023/11/30 12:00,1.82,1029.21,ºÏµ¿,2.11,,,,,,,,,,,,,,,,
13,2023/11/30 11:00,1.16,1029.92,ºÏµ¿,2.37,,,,,,,,,,,,,,,,
14,2023/11/30 10:00,0.81,1029.9,ºÏºÏµ¿,2.53,,,,,,,,,,,,,,,,
15,2023/11/30 09:00,0.71,1029.55,ºÏºÏµ¿,2.53,,,,,,,,,,,,,,,,
16,2023/11/30 08:00,1.1,1028.93,ºÏµ¿,2.78,,,,,,,,,,,,,,,,
17,2023/11/30 07:00,1.45,1028.28,ºÏºÏµ¿,2.73,,,,,,,,,,,,,,,,
18,2023/11/30 06:00,1.94,1027.69,ºÏºÏµ¿,2.21,,,,,,,,,,,,,,,,
19,2023/11/30 05:00,4.31,1027,ºÏ¼­,2.57,,,,,,,,,,,,,,,,
